Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-08 00:00:00-04:00,93.66666412,94.48400116,87.42266846,91.05867004,244669500,0,0
2020-07-09 00:00:00-04:00,93.13266754,93.90399933,90.08533478,92.95200348,175764000,0,0
2020-07-10 00:00:00-04:00,93.06666565,103.2613297,91.73400116,102.9766693,350064000,0,0
2020-07-13 00:00:00-04:00,110.5999985,119.6660004,98.0739975,99.80400085,584781000,0,0
2020-07-14 00:00:00-04:00,103.7333298,106,95.40000153,101.1200027,351271500,0,0
2020-07-15 00:00:00-04:00,102.8666687,103.3333359,97.1333313,103.0673294,245517000,0,0
2020-07-16 00:00:00-04:00,98.47733307,102.1139984,97.73332977,100.0426636,214512000,0,0
2020-07-17 00:00:00-04:00,100.8966675,102.5006638,99.33333588,100.0559998,139950000,0,0
2020-07-20 00:00:00-04:00,101.267334,110,99.19999695,109.5333328,256821000,0,0
2020-07-21 00:00:00-04:00,109.3286667,111.6666641,103.8666687,104.5573349,241608000,0,0
2020-07-22 00:00:00-04:00,106.5999985,108.4280014,104.1333313,106.1553345,212416500,0,0
2020-07-23 00:00:00-04:00,111.9300003,112.5999985,98.71800232,100.8713303,364927500,0,0
2020-07-24 00:00:00-04:00,94.40066528,97.66666412,91.10266876,94.46666718,290949000,0,0
2020-07-27 00:00:00-04:00,95.66666412,103.1959991,94.19999695,102.6399994,240730500,0,0
2020-07-28 00:00:00-04:00,100.2666702,104.3133316,98.2946701,98.43267059,237130500,0,0
2020-07-29 00:00:00-04:00,100.0666656,102.3206635,99.1333313,99.9406662,141403500,0,0
2020-07-30 00:00:00-04:00,99.19999695,100.8826675,98.06666565,99.16600037,114315000,0,0
2020-07-31 00:00:00-04:00,101,101.1366653,94.73200226,95.38400269,183123000,0,0
2020-08-03 00:00:00-04:00,96.61333466,100.6539993,96.29199982,99,132139500,0,0
2020-08-04 00:00:00-04:00,99.66733551,101.8273315,97.46666718,99.1333313,126225000,0,0
2020-08-05 00:00:00-04:00,99.53266907,99.98933411,97.88733673,99.00133514,74217000,0,0
2020-08-06 00:00:00-04:00,99.38866425,101.1539993,98.48400116,99.305336,89884500,0,0
2020-08-07 00:00:00-04:00,99.96932983,99.98332977,94.33399963,96.84733582,133446000,0,0
2020-08-10 00:00:00-04:00,96.53333282,97.16666412,92.38933563,94.57133484,112834500,0,0
2020-08-11 00:00:00-04:00,93.06666565,94.66666412,91,91.62599945,129387000,0,0
2020-08-12 00:00:00-04:00,98,105.6666641,95.66666412,103.6506653,327441000,0,0
2020-08-13 00:00:00-04:00,107.4000015,110.0786667,104.4840012,108.0666656,306379500,0,0
2020-08-14 00:00:00-04:00,110.9993362,111.253334,108.4426651,110.0473328,188664000,0,0
2020-08-17 00:00:00-04:00,111.8000031,123.0573349,111.5220032,122.3759995,303634500,0,0
2020-08-18 00:00:00-04:00,126.5993347,128.2599945,123.0073318,125.8059998,247117500,0,0
2020-08-19 00:00:00-04:00,124.3333359,127.4000015,122.7473297,125.2353363,183079500,0,0
2020-08-20 00:00:00-04:00,124.0453339,134.7993317,123.8040009,133.4553375,309177000,0,0
2020-08-21 00:00:00-04:00,136.317337,139.6993256,135.0033264,136.665329,322344000,0,0
2020-08-24 00:00:00-04:00,141.7519989,141.9333344,128.5013275,134.2799988,300954000,0,0
2020-08-25 00:00:00-04:00,131.6593323,135.1966705,131.1999969,134.889328,159883500,0,0
2020-08-26 00:00:00-04:00,137.3333282,144.3999939,136.9086609,143.5446625,213591000,0,0
2020-08-27 00:00:00-04:00,145.3639984,153.0399933,142.8333282,149.25,355395000,0,0
2020-08-28 00:00:00-04:00,153.0079956,154.5659943,145.7680054,147.5599976,301218000,0,0
2020-08-31 00:00:00-04:00,148.2033386,166.7133331,146.7033386,166.1066742,355123200,0,5
2020-09-01 00:00:00-04:00,167.3800049,167.4966736,156.8366699,158.3500061,269523300,0,0
2020-09-02 00:00:00-04:00,159.6633301,159.6799927,135.0399933,149.1233368,288528300,0,0
2020-09-03 00:00:00-04:00,135.7433319,143.9333344,134,135.6666718,262788300,0,0
2020-09-04 00:00:00-04:00,134.2700043,142.6666718,124.0066681,139.4400024,330965700,0,0
2020-09-08 00:00:00-04:00,118.6666641,122.9133301,109.9599991,110.0699997,346397100,0,0
2020-09-09 00:00:00-04:00,118.8666687,123,113.8366699,122.0933304,238397400,0,0
2020-09-10 00:00:00-04:00,128.7366638,132.9966736,120.1866684,123.7799988,254791800,0,0
2020-09-11 00:00:00-04:00,127.3133316,127.5,120.1666641,124.2399979,182152500,0,0
2020-09-14 00:00:00-04:00,126.9833298,140,124.4333344,139.8733368,249061800,0,0
2020-09-15 00:00:00-04:00,145.5200043,153.9799957,143.5666656,149.9199982,291894600,0,0
2020-09-16 00:00:00-04:00,146.6233368,152.5966644,145.1033325,147.2533264,216837900,0,0
2020-09-17 00:00:00-04:00,138.5333405,145.9299927,136,141.1433258,230337600,0,0
2020-09-18 00:00:00-04:00,149.3133392,150.3333282,142.9333344,147.3833313,259220400,0,0
2020-09-21 00:00:00-04:00,151.043335,151.8933258,135.6900024,149.7966614,328430400,0,0
2020-09-22 00:00:00-04:00,143.1999969,145.9199982,139.1999969,141.4100037,238742400,0,0
2020-09-23 00:00:00-04:00,135.0533295,137.3833313,125.293335,126.7866669,285222600,0,0
2020-09-24 00:00:00-04:00,121.2666702,133.1666718,117.0999985,129.2633362,289683300,0,0
2020-09-25 00:00:00-04:00,131.156662,136.2433319,130.4333344,135.7799988,201625500,0,0
2020-09-28 00:00:00-04:00,141.5399933,142.6933289,138.5166626,140.3999939,149158800,0,0
2020-09-29 00:00:00-04:00,138.6666718,142.8333282,137.1999969,139.6900024,150657900,0,0
